"WAVEL [µm]" "FLUX [Jy]" "FLUX_err [Jy]"
10.114068984985352 "" ""
10.120156288146973 "" ""
10.12624454498291 "" ""
10.132333755493164 "" ""
10.138422966003418 "" ""
10.144513130187988 "" ""
10.150603294372559 "" ""
10.156693458557129 "" ""
10.162784576416016 "" ""
10.168876647949219 "" ""
10.174968719482422 "" ""
10.181059837341309 "" ""
10.187152862548828 "" ""
10.193245887756348 "" ""
10.199338912963867 "" ""
10.205432891845703 "" ""
10.211526870727539 "" ""
10.217621803283691 "" ""
10.22371768951416 "" ""
10.229812622070312 "" ""
10.235908508300781 "" ""
10.24200439453125 "" ""
10.248102188110352 "" ""
10.254199028015137 "" ""
10.260295867919922 "" ""
10.26639461517334 "" ""
10.272492408752441 "" ""
10.27859115600586 "" ""
10.284690856933594 "" ""
10.290790557861328 "" ""
10.296890258789062 "" ""
10.302990913391113 "" ""
10.309091567993164 "" ""
10.315193176269531 "" ""
10.321293830871582 "" ""
10.327397346496582 "" ""
10.333499908447266 "" ""
10.33960247039795 "" ""
10.34570598602295 "" ""
10.35180950164795 "" ""
10.35791301727295 "" ""
10.364017486572266 "" ""
10.370122909545898 "" ""
10.376228332519531 "" ""
10.382333755493164 "" ""
10.388440132141113 "" ""
10.394546508789062 "" ""
10.400653839111328 "" ""
10.406761169433594 "" ""
10.412869453430176 "" ""
10.418977737426758 "" ""
10.425086975097656 "" ""
10.431195259094238 "" ""
10.437304496765137 "" ""
10.443414688110352 "" ""
10.449525833129883 "" ""
10.455636978149414 "" ""
10.461747169494629 "" ""
10.467859268188477 "" ""
10.473971366882324 "" ""
10.480083465576172 "" ""
10.486196517944336 "" ""
10.4923095703125 "" ""
10.498422622680664 "" ""
10.504537582397461 "" ""
10.510651588439941 "" ""
10.516766548156738 "" ""
10.522881507873535 "" ""
10.528997421264648 "" ""
10.535113334655762 "" ""
10.541230201721191 "" ""
10.547347068786621 "" ""
10.553464889526367 "" ""
10.559582710266113 "" ""
10.56570053100586 "" ""
10.571819305419922 "" ""
10.577938079833984 "" ""
10.584056854248047 "" ""
10.590177536010742 "" ""
10.596298217773438 "" ""
10.602417945861816 "" ""
10.608539581298828 "" ""
10.61466121673584 "" ""
10.620782852172852 "" ""
10.62690544128418 "" ""
10.633028030395508 "" ""
10.639150619506836 "" ""
10.64527416229248 "" ""
10.651398658752441 "" ""
10.657523155212402 "" ""
10.663647651672363 "" ""
10.66977310180664 "" ""
10.675898551940918 "" ""
10.682024002075195 "" ""
10.688150405883789 "" ""
10.6942777633667 "" ""
10.70040512084961 "" ""
10.70653247833252 "" ""
10.712660789489746 "" ""
10.718790054321289 "" ""
10.724919319152832 "" ""
10.731047630310059 "" ""
10.737177848815918 "" ""
10.743308067321777 "" ""
10.749438285827637 "" ""
10.755568504333496 "" ""
10.761700630187988 "" ""
10.76783275604248 "" ""
10.773963928222656 "" ""
10.780097007751465 "" ""
10.78623104095459 "" ""
10.792363166809082 "" ""
10.798498153686523 "" ""
10.804631233215332 "" ""
10.81076717376709 "" ""
10.816901206970215 "" ""
10.823037147521973 "" ""
10.82917308807373 "" ""
10.835309982299805 "" ""
10.841445922851562 "" ""
10.847583770751953 "" ""
10.853721618652344 "" ""
10.859858512878418 "" ""
10.865998268127441 "" ""
10.872136116027832 "" ""
10.878274917602539 "" ""
10.884414672851562 "" ""
10.890555381774902 "" ""
